[2016-02-28 18:47:20,403] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (chocolate bar) has been added to collection
[2016-02-28 18:47:20,403] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 18:47:20,403] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (chocolate bar) has been added to collection
[2016-02-28 18:47:20,403] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 18:47:20,404] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (jelly bean) has been added to collection
[2016-02-28 18:47:20,404] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 18:47:20,404] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (jelly bean) has been added to collection
[2016-02-28 18:47:20,405] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 18:47:20,405] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (chocolate bar) has been added to collection
[2016-02-28 18:47:20,405] [main] [ERROR][ by.bsuir.gift.checkers.FileInfoChecker:] Invalid numbers in file
[2016-02-28 18:47:20,407] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candies are set
[2016-02-28 18:47:40,632] [main] [DEBUG][ by.bsuir.gift.main.Main:] Log4j try
[2016-02-28 18:47:40,635] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:47:40,635] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:47:40,636] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:47:40,636] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:47:40,636] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:47:40,636] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:47:40,636] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] File has been read
[2016-02-28 18:47:40,638] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 18:47:40,641] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (chocolate bar) has been added to collection
[2016-02-28 18:47:40,641] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 18:47:40,641] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (chocolate bar) has been added to collection
[2016-02-28 18:47:40,642] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 18:47:40,643] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (jelly bean) has been added to collection
[2016-02-28 18:47:40,643] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 18:47:40,643] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (jelly bean) has been added to collection
[2016-02-28 18:47:40,643] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 18:47:40,643] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (chocolate bar) has been added to collection
[2016-02-28 18:47:40,643] [main] [ERROR][ by.bsuir.gift.checkers.FileInfoChecker:] Invalid numbers in file
[2016-02-28 18:47:40,645] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candies are set
[2016-02-28 18:48:33,086] [main] [DEBUG][ by.bsuir.gift.main.Main:] Log4j try
[2016-02-28 18:48:33,089] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:48:33,089] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:48:33,089] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:48:33,089] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:48:33,090] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:48:33,090] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:48:33,090] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] File has been read
[2016-02-28 18:48:33,092] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 18:48:33,095] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (chocolate bar) has been added to collection
[2016-02-28 18:48:33,095] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 18:48:33,095] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (chocolate bar) has been added to collection
[2016-02-28 18:48:33,095] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 18:48:33,096] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (jelly bean) has been added to collection
[2016-02-28 18:48:33,096] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 18:48:33,096] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (jelly bean) has been added to collection
[2016-02-28 18:48:33,096] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 18:48:33,096] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (chocolate bar) has been added to collection
[2016-02-28 18:48:33,096] [main] [ERROR][ by.bsuir.gift.checkers.FileInfoChecker:] Invalid numbers in file
[2016-02-28 18:48:33,097] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candies are set
[2016-02-28 18:49:16,006] [main] [DEBUG][ by.bsuir.gift.main.Main:] Log4j try
[2016-02-28 18:49:16,009] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:49:16,009] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:49:16,009] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:49:16,009] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:49:16,009] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:49:16,009] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:49:16,010] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] File has been read
[2016-02-28 18:49:16,012] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 18:49:16,014] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (chocolate bar) has been added to collection
[2016-02-28 18:49:16,014] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 18:49:16,015] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (chocolate bar) has been added to collection
[2016-02-28 18:49:16,015] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 18:49:16,016] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (jelly bean) has been added to collection
[2016-02-28 18:49:16,016] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 18:49:16,016] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (jelly bean) has been added to collection
